network,channel,station,data,endtime,starttime,sampling_rate,location
ZZ,HHN,FWU4,[-12870 -10388  10160 ...  -7594  41529  31549],2019-12-17T23:59:59.996000,2019-12-17T00:00:00,250.0,10
ZZ,HHN,FWU4,[   806    359    805 ...  11383  23603 -31375],2019-11-21T23:59:59.996000,2019-11-21T00:00:00,250.0,10
ZZ,HHN,FWU4,[-30571  66758   8456 ...   -412   -838   -785],2019-11-24T23:59:59.996000,2019-11-24T00:00:00,250.0,10
ZZ,HHN,FWU4,[-2258 -2091 -1391 ... 15286  7312 -7029],2019-12-20T23:59:59.996000,2019-12-20T00:00:00,250.0,10
ZZ,HHN,FWU4,[  55 1708  256 ... 2842 2313  791],2019-12-10T23:59:59.996000,2019-12-10T00:00:00,250.0,10
ZZ,HHN,FWU4,[  625  -163 -1976 ...   794   801  1261],2019-11-16T23:59:59.996000,2019-11-16T00:00:00,250.0,10
ZZ,HHN,FWU4,[ 23625  22349  -1340 ...  -3037 -19906  -1132],2019-12-24T23:59:59.996000,2019-12-24T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -815 -1538 -1624 ...  -907 -1070 -1349],2019-12-19T23:59:59.996000,2019-12-19T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -1930   6343   8859 ...   -268   7097 -52458],2019-12-04T23:59:59.996000,2019-12-04T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -2427   -630  -1697 ... -53556 -83972  30545],2019-12-12T23:59:59.996000,2019-12-12T00:00:00,250.0,10
ZZ,HHN,FWU4,[-115041  -32299  141926 ...   63305  -14404  -38283],2019-12-26T23:59:59.996000,2019-12-26T00:00:00,250.0,10
ZZ,HHN,FWU4,[24608 29020 26325 ... 20641 28897 26331],2019-11-02T23:59:59.996000,2019-11-02T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -7181  19053  -3053 ... -18152   4760   7831],2019-12-29T23:59:59.996000,2019-12-29T00:00:00,250.0,10
ZZ,HHN,FWU4,[ 728  844 1333 ...  521  591  309],2019-11-29T23:59:59.996000,2019-11-29T00:00:00,250.0,10
ZZ,HHN,FWU4,[  8287 -56950 -30779 ...    511   7811   8166],2019-11-06T23:59:59.996000,2019-11-06T00:00:00,250.0,10
ZZ,HHN,FWU4,[22954 13706 -5235 ... -3052 -3298 -2486],2019-12-02T23:59:59.996000,2019-12-02T00:00:00,250.0,10
ZZ,HHN,FWU4,[ 78619 -14174 -74964 ...   -175   -179   -142],2019-12-15T23:59:59.996000,2019-12-15T00:00:00,250.0,10
ZZ,HHN,FWU4,[  -388   -715   -760 ... -20319 -12428  -7005],2019-12-16T23:59:59.996000,2019-12-16T00:00:00,250.0,10
ZZ,HHN,FWU4,[  232   506  1826 ... -3094  -837  1268],2019-11-15T23:59:59.996000,2019-11-15T00:00:00,250.0,10
ZZ,HHN,FWU4,[-25904  28309   -991 ...  -1281  -1494  -1669],2019-12-05T23:59:59.996000,2019-12-05T00:00:00,250.0,10
ZZ,HHN,FWU4,[   387     -7   -244 ...   7101  18858 -10745],2019-12-28T23:59:59.996000,2019-12-28T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -130   888  2725 ... -2889 -3871 -2845],2019-12-03T23:59:59.996000,2019-12-03T00:00:00,250.0,10
ZZ,HHN,FWU4,[1121  768  158 ...  164  526  937],2019-11-30T23:59:59.996000,2019-11-30T00:00:00,250.0,10
ZZ,HHN,FWU4,[ 10029  -3379  -6821 ... -58570  41841 -11395],2019-11-23T23:59:59.996000,2019-11-23T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -8483  18732 -15850 ...  -4200  -2256  11274],2019-11-22T23:59:59.996000,2019-11-22T00:00:00,250.0,10
ZZ,HHN,FWU4,[-1144  -156 -1187 ...  1312  2859  4558],2019-12-06T23:59:59.996000,2019-12-06T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -183 -1308 -9795 ...  7592 28993 -2791],2019-11-27T23:59:59.996000,2019-11-27T00:00:00,250.0,10
ZZ,HHN,FWU4,[-19002 -26946 -17922 ...   5649  15796 -20075],2019-12-21T23:59:59.996000,2019-12-21T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -37915    4482    1256 ... -163733  -28066  168731],2019-12-31T14:44:32.860000,2019-12-31T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -8597 -11710  -3577 ...    679   2525  -1575],2019-11-11T23:59:59.996000,2019-11-11T00:00:00,250.0,10
ZZ,HHN,FWU4,[-3629 -8593 -7628 ...  -459  -188  -324],2019-11-18T23:59:59.996000,2019-11-18T00:00:00,250.0,10
ZZ,HHN,FWU4,[ 2047 -3857  -776 ...   886   -28    81],2019-10-31T23:59:59.996000,2019-10-31T00:00:00,250.0,10
ZZ,HHN,FWU4,[-42498 -22757  32462 ...   -811   -883   -166],2019-12-27T23:59:59.996000,2019-12-27T00:00:00,250.0,10
ZZ,HHN,FWU4,[39925 -2617 25987 ...  5670  4601  3368],2019-12-13T23:59:59.996000,2019-12-13T00:00:00,250.0,10
