network,channel,station,location,starttime,endtime,sampling_rate,mean_data,PC1,PC2
ZZ,HHE,FWU3,10,2019-11-27T00:00:00,2019-11-27T23:59:59.996000,250.0,-2340.0,0.04859860173480418,1.8064380815651626
ZZ,HHE,FWU3,10,2019-11-14T00:00:00,2019-11-14T23:59:59.996000,250.0,1984.0,0.6111278394458468,0.402315546111554
ZZ,HHE,FWU3,10,2019-11-19T00:00:00,2019-11-19T23:59:59.996000,250.0,-1521.0,-0.2777067081346813,0.11238257040959494
ZZ,HHE,FWU3,10,2019-12-20T00:00:00,2019-12-20T23:59:59.996000,250.0,1762.0,0.5941911765874162,0.2605331301170404
ZZ,HHE,FWU3,10,2019-12-03T00:00:00,2019-12-03T23:59:59.996000,250.0,-1325.3333333333333,-0.2287661611960959,0.10194317108639826
ZZ,HHE,FWU3,10,2019-10-31T00:00:00,2019-10-31T23:59:59.996000,250.0,-1480.6666666666667,-0.2604589998657067,0.06086955163044232
ZZ,HHE,FWU3,10,2019-11-17T00:00:00,2019-11-17T23:59:59.996000,250.0,-189.33333333333334,0.0749570279207983,0.16624071315359576
ZZ,HHE,FWU3,10,2019-11-16T00:00:00,2019-11-16T23:59:59.996000,250.0,1567.3333333333333,0.5460288342319431,0.48196529483085476
ZZ,HHN,FWU3,10,2019-11-24T00:00:00,2019-11-24T23:59:59.996000,250.0,806.0,0.2929758046108089,-0.590497556060007
ZZ,HHN,FWU3,10,2019-11-28T00:00:00,2019-11-28T23:59:59.996000,250.0,106.33333333333333,0.1224738130593644,1.3479110907809435
ZZ,HHN,FWU3,10,2019-11-02T00:00:00,2019-11-02T23:59:59.996000,250.0,-866.0,-0.10559338727664486,0.18394059965429177
ZZ,HHN,FWU3,10,2019-12-02T00:00:00,2019-12-02T23:59:59.996000,250.0,9855.666666666666,2.807136546576489,-1.429163018041131
ZZ,HHN,FWU3,10,2019-11-12T00:00:00,2019-11-12T08:32:45.876000,250.0,-635.3333333333334,-0.04278415278451952,0.1455038896132881
