Unit Name,API,District,Field,Battery,Start Date,Downtime,Operating Time,Allocated HCLiq,Allocated Gas,Allocated Water,Injection Well - Gas,Injection Well - Water,,,,,,,,,,,,
FWU #2302,42357007760000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2303 (INJ),42357020290000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2304,42357007930000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2305,42357023680000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2306,42357811400000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2307 (INJ),42357020430000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2308,42357007790000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2309 (INJ),42357020380000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2310,42357300490000,PANHANDLE,FWU,FARNSWORTH,6/1/19,122.00,598.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2311,42357313550000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2501,42357811450000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2502,42357002270000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2502A,42357300990000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2503 (INJ),42357020460000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2601,42357811480000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2602 (INJ),42357020420000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2701,42357023320000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2702 (INJ),42357020510000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3001,42357002490000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3002,42357002510000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3003 (INJ),42357020470000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #301,42357009340000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3101,42357023370000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3102,42357023360000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3103 (INJ),42357020480000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3201,42357023450000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3202 (INJ),42357811590000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3203,42357022060000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3204 (INJ),42357811610000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3205 (INJ),42357317680001,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3206,42357319890000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3208,42357334100000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3301 (INJ),42357000290000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3303 (INJ),42357021340000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3401 (INJ),42357020500000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3402 (INJ),42357008730000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3403,42357319880000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3601 (INJ),42357020490000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3602,42357023350000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3701,42357811680000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3702 (INJ),42357811690000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3901,42357811710000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4001,42357811720000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4002,42357023480000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4003 (INJ),42357811740000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4004,42357005140000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4005,42357023640000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4006,42357023650000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4007 (INJ),42357811780000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4009,42357020570000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #401,42357001560000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4101,42357009990000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4102,42357021920000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4201,42357000040000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4202 (INJ),42357811820000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4203 (INJ),42357020330001,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4204 (INJ),42357010010000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4301,42357023690000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #501,42357810720000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"1,862.60","12,229.87","3,239.05",,,,,,,,,,,,,,
FWU #502 (INJ),42357023310000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,"10,159.77","25,773.25",,,,,,,,,,,,
FWU #503,42357810740001,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"3,133.89","5,306.64","12,632.29",,,,,,,,,,,,,,
FWU #504,42357300510000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #505,42357050509999,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #506,42357334110000,PANHANDLE,FWU,FARNSWORTH,6/1/19,14.00,706.00,667.95,"5,121.01",828.55,,,,,,,,,,,,,,
FWU #601,42357020640001,PANHANDLE,FWU,FARNSWORTH,6/1/19,32.00,688.00,566.16,3.35,"2,600.95",,,,,,,,,,,,,,
FWU #602,42357020630000,PANHANDLE,FWU,FARNSWORTH,6/1/19,38.00,682.00,"1,707.53","1,760.80","14,067.35",,,,,,,,,,,,,,
FWU #603 (INJ),42357303410000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #701,42357020620000,PANHANDLE,FWU,FARNSWORTH,6/1/19,84.00,636.00,"1,135.86","1,156.77","14,975.84",,,,,,,,,,,,,,
FWU #702,42357810800000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"1,271.30","22,105.13","17,612.32",,,,,,,,,,,,,,
FWU #703 (INJ),42357302540000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #801,42357020650000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,313.98,311.48,"2,875.99",,,,,,,,,,,,,,
FWU #802,42357004140000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"1,845.78","27,562.27","16,729.16",,,,,,,,,,,,,,
FWU #803 (INJ),42357810840000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,"17,792.04","36,318.35",,,,,,,,,,,,
FWU #804 (INJ),42357003990000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,"39,310.99",0.00,,,,,,,,,,,,
FWU #805 (INJ),42357301160001,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,0.00,"57,319.07",,,,,,,,,,,,
FWU #805 (SWD),42357301160000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #806,42357330090000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,558.75,"3,312.74","4,524.17",,,,,,,,,,,,,,
FWU #807,42357334050000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"1,093.91","2,811.46","3,239.05",,,,,,,,,,,,,,
FWU #808,42357334130000,PANHANDLE,FWU,FARNSWORTH,6/1/19,24.00,696.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #901,42357009390000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,975.65,"3,226.15","8,502.50",,,,,,,,,,,,,,
FWU #9010 (INJ),42357330770000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,"46,420.07",0.00,,,,,,,,,,,,
FWU #902,42357023530000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #903,42357009400000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #904,42357022130000,PANHANDLE,FWU,FARNSWORTH,6/1/19,528.00,192.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #906 (INJ),42357020340000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #907,42357810910000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"1,478.25","49,376.33","24,981.16",,,,,,,,,,,,,,
FWU #908 (INJ),42357301860000,PANHANDLE,FWU,FARNSWORTH,6/1/19,24.00,696.00,,,,0.00,"16,109.88",,,,,,,,,,,,
FWU #909,42357330610000,PANHANDLE,FWU,FARNSWORTH,6/1/19,12.00,708.00,815.30,"17,370.93","3,191.39",,,,,,,,,,,,,,
FWU #1 (WSW),42357810690000,PANHANDLE,FWU,FARNSWORTH (INJ),7/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #101 (INJ),42357009380000,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1101 (INJ),42357020350000,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1102,42357330000000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,"2,198.24","29,129.85","4,465.78",,,,,,,,,,,,,,
FWU #1202,42357319860000,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1301 (INJ),42357007950000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,,,,"44,480.65",9.88,,,,,,,,,,,,
FWU #1302,42357023500000,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1303 (INJ),42357007940000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,,,,"50,644.48",0.00,,,,,,,,,,,,
FWU #1304,42357023510000,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1305 (INJ),42357007990000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,,,,"58,200.09",0.00,,,,,,,,,,,,
FWU #1306,42357007960000,PANHANDLE,FWU,FARNSWORTH,7/1/19,12.00,732.00,"2,136.23","2,387.62","3,138.80",,,,,,,,,,,,,,
FWU #1307,42357023520000,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1308,42357023490000,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1309 (INJ),42357811020000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,,,,983.59,"40,577.54",,,,,,,,,,,,
FWU #1310 (INJ),42357301030000,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1310A (INJ),42357331790000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,,,,"42,832.47",0.00,,,,,,,,,,,,
FWU #1311,42357301040000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1311 (SWD),42357301040001,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,,,,0.00,551.00,,,,,,,,,,,,
FWU #1312,42357330130000,PANHANDLE,FWU,FARNSWORTH,7/1/19,12.00,732.00,"4,212.29","12,037.85","5,731.72",,,,,,,,,,,,,,
FWU #1313 (INJ),42357333320000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,,,,237.78,21.32,,,,,,,,,,,,
FWU #1314,42357331890000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,"1,389.73","10,990.96","5,109.25",,,,,,,,,,,,,,
FWU #1315,42357333730000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,"4,312.01","1,163.15",797.68,,,,,,,,,,,,,,
FWU #1316,42357331930000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,804.96,"12,486.96","1,533.65",,,,,,,,,,,,,,
FWU #1317,42357333990000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,"1,406.75","18,630.67","4,404.57",,,,,,,,,,,,,,
FWU #1319,42357333740000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,30.58,432.80,"4,508.62",,,,,,,,,,,,,,
FWU #1401 (INJ),42357020410000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,,,,656.89,"12,116.23",,,,,,,,,,,,
FWU #1402 (INJ),42357002670001,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1403 (INJ),42357020660000,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1501,42357000600001,PANHANDLE,FWU,FARNSWORTH,7/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1502 (INJ),42357811100000,PANHANDLE,FWU,FARNSWORTH,7/1/19,0.00,744.00,,,,0.00,"21,300.29",,,,,,,,,,,,
