Table 1
Unit Name,Type of Downtime Entry,First Day,Downtime on First Day,Downtime Code 1,Last Day,Downtime on Last Day,Total Downtime,,,,,,,,,,,,,,,,,,,
FWU #602,single day,6/8/19,8.00,Downhole Failure,6/8/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #904,multi day,6/9/19,24.00,Power Failure,,,,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/12/19,12.00,Downhole Failure,6/12/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #506,single day,6/15/19,14.00,Power Failure,6/15/19,,14.00,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/19/19,20.00,Downhole Failure,6/19/19,,20.00,,,,,,,,,,,,,,,,,,,
FWU #1313 (INJ),single day,6/25/19,24.00,Downhole Failure,6/25/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/30/19,24.00,Downhole Failure,6/30/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #2008,single day,7/3/19,24.00,Power Failure,7/3/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #2008,single day,7/4/19,24.00,Engine Repairs,7/4/19,24.00,24.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,7/13/19,20.00,Downhole Failure,7/13/19,,20.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,7/13/19,12.00,Downhole Failure,7/13/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #807,single day,7/14/19,15.00,Power Failure,7/14/19,,15.00,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,7/24/19,12.00,Downhole Failure,7/24/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,7/27/19,6.00,Power Failure,7/27/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #1312,single day,7/27/19,6.00,Power Failure,7/27/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,7/27/19,6.00,Power Failure,7/27/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,7/29/19,6.00,Power Failure,7/29/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #1312,single day,7/29/19,6.00,Power Failure,7/29/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,7/31/19,5.00,Power Failure,7/31/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,8/4/19,8.00,Downhole Failure,8/4/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #2310,single day,8/4/19,18.00,Power Failure,8/4/19,,18.00,,,,,,,,,,,,,,,,,,,
FWU #2310,single day,8/5/19,24.00,Power Failure,8/5/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,8/5/19,24.00,Power Failure,8/5/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,8/7/19,7.00,Power Failure,8/7/19,,7.00,,,,,,,,,,,,,,,,,,,
FWU #503,single day,8/7/19,12.00,Power Failure,8/7/19,,12.00,,,,,,,,,,,,,,,,,,,
