Table 1
Unit Name,Meter Name,Date,End Reading,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/5/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/5/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/5/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/5/19,536.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/5/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/5/19,"2,197.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/5/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/5/19,467.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/5/19,2.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/5/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/5/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/5/19,504.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/5/19,"117,201.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/5/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,6/5/19,"1,733.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/5/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/5/19,"1,448.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/5/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/5/19,744.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/6/19,"8,034.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/6/19,"1,864.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/6/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/6/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/6/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/6/19,543.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/6/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/6/19,"2,031.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/6/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/6/19,507.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/6/19,408.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/6/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/6/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/6/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/6/19,"117,295.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/6/19,664.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,6/6/19,"1,359.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/6/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/6/19,"1,460.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/6/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/6/19,751.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/7/19,"8,034.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/7/19,"2,042.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/7/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/7/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/7/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/7/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/7/19,"2,082.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/7/19,0.00,,,,,,,
